species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Azorella transverse-striata,azorella transverse-striata,Hierba,herbacea,nativa,True,Azorella ameghinoi,False
Trisciadium andinum,trisciadium andinum,Hierba,herbacea,nativa,True,Azorella andina,False
Huanaca andina,huanaca andina,Hierba,herbacea,nativa,True,Azorella andina,False
Azorella trilobata,azorella trilobata,Hierba,herbacea,nativa,True,Azorella andina,False
Schizeilema trilobatum,schizeilema trilobatum,Hierba,herbacea,nativa,True,Azorella andina,False
Mulinum crassifolium,mulinum crassifolium,Subarbusto,lenosa,nativa,True,Azorella atacamensis,False
Fragosa biloba,fragosa biloba,Subarbusto,lenosa,nativa,True,Azorella biloba,False
Azorella lehmannii,azorella lehmannii,Subarbusto,lenosa,nativa,True,Azorella biloba,False
Huanaca boelckei,huanaca boelckei,Hierba,herbacea,nativa,True,Azorella boelckei,False
Huanaca burkartii,huanaca burkartii,Hierba,herbacea,nativa,True,Azorella burkartii,False
Azorella columnaris,azorella columnaris,Subarbusto,lenosa,nativa,True,Azorella compacta,False
Azorella yareta,azorella yareta,Subarbusto,lenosa,nativa,True,Azorella compacta,False
Azorella prismatoclada,azorella prismatoclada,Subarbusto,lenosa,nativa,True,Azorella compacta,False
Laretia compacta,laretia compacta,Subarbusto,lenosa,nativa,True,Azorella compacta,False
Mulinum valentini,mulinum valentini,Subarbusto,lenosa,nativa,True,Azorella concolor,False
Mulinum lycopodiopsis,mulinum lycopodiopsis,Subarbusto,lenosa,nativa,True,Azorella concolor,False
Mulinum integrifolium,mulinum integrifolium,Subarbusto,lenosa,nativa,True,Azorella cryptantha,False
Mulinum cryptanthum,mulinum cryptanthum,Subarbusto,lenosa,nativa,True,Azorella cryptantha,False
Pozoa incisa,pozoa incisa,Hierba,herbacea,nativa,True,Azorella diversifolia,False
Azorella incisa,azorella incisa,Hierba,herbacea,nativa,True,Azorella diversifolia,False
Azorella cespitosa,azorella cespitosa,Subarbusto,lenosa,nativa,True,Azorella monantha,False
Azorella hookeriana,azorella hookeriana,Subarbusto,lenosa,nativa,True,Azorella monantha,False
Azorella apoda,azorella apoda,Subarbusto,lenosa,nativa,True,Azorella monantha,False
Azorella sessiliflora,azorella sessiliflora,Subarbusto,lenosa,nativa,True,Azorella monantha,False
Azorella bryoides,azorella bryoides,Subarbusto,lenosa,nativa,True,Azorella monantha,False
Azorella nucamentacea,azorella nucamentacea,Subarbusto,lenosa,nativa,True,Azorella monantha,False
Apleura nucamentacea,apleura nucamentacea,Subarbusto,lenosa,nativa,True,Azorella monantha,False
Azorella glacialis,azorella glacialis,Subarbusto,lenosa,nativa,True,Azorella monantha,False
Chamitis integrifolia,chamitis integrifolia,Hierba,herbacea,nativa,True,Azorella filamentosa,False
Azorella chamitis,azorella chamitis,Hierba,herbacea,nativa,True,Azorella filamentosa,False
Mulinum leptacanthum,mulinum leptacanthum,Subarbusto,lenosa,nativa,True,Azorella nivalis,False
Mulinum patagonicum,mulinum patagonicum,Subarbusto,lenosa,nativa,True,Azorella nivalis,False
Azorella mesetae,azorella mesetae,Hierba,herbacea,nativa,True,Azorella fuegiana,False
Azorella dusenii,azorella dusenii,Hierba,herbacea,nativa,True,Azorella fuegiana,False
Azorella plantaginea,azorella plantaginea,Hierba,herbacea,nativa,True,Azorella patagonica,False
Azorella nervosa,azorella nervosa,Subarbusto,lenosa,nativa,True,Azorella lycopodioides,False
Azorella laevigata,azorella laevigata,Subarbusto,lenosa,nativa,True,Azorella lycopodioides,False
Azorella clandestina,azorella clandestina,Subarbusto,lenosa,nativa,True,Azorella lycopodioides,False
Azorella vaginata,azorella vaginata,Subarbusto,lenosa,nativa,True,Azorella lycopodioides,False
Azorella philippi,azorella philippi,Subarbusto,lenosa,nativa,True,Azorella lycopodioides,False
Mulinum spinosum,mulinum spinosum,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Selinum spinosum,selinum spinosum,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Selinum proliferum,selinum proliferum,Arbusto,lenosa,nativa,True,Azorella prolifera,False
Mulinum proliferum,mulinum proliferum,Arbusto,lenosa,nativa,True,Azorella prolifera,False
