run_id,family,substrate,alpha,beta_pa,beta_cover,phylo,dark,mean
C2D02_serpentine_kndvi_linear_shrink_noaug_ctxclim-topo-area_weig003,C2D,serpentine,0.4583106529906694,0.4867242015126724,0.3136116314066529,0.17376355576078747,0.3780279104191098,0.3620875904179784
C2D02_serpentine_kndvi_ctxclim-topo-area,C2D,serpentine,0.46373447701363013,0.48911572809024356,0.3080334991496277,0.16750956075952253,0.38047051806593074,0.3617727566157909
C2D02_serpentine_kndvi_linear_shrink_noaug_ctxclim-topo-area_weig01,C2D,serpentine,0.4522422985832473,0.4902346043849309,0.3187803174105357,0.16727422611312065,0.37586976023465984,0.3608802413452989
C2D02_serpentine_kndvi_linear_shrink_ctxclim-topo-area_slope005,C2D,serpentine,0.4537828801082344,0.49224650760264205,0.30595982880279027,0.16757839219224502,0.3831338590537459,0.3605402935519315
C2D02_serpentine_kndvi_linear_shrink_noaug_ctxclim-topo-area,C2D,serpentine,0.45566526040511895,0.48552083741463137,0.3146811223806833,0.17218446885624558,0.3737312740772734,0.36035659262679054
C2D02_serpentine_kndvi_linear_shrink_ctxclim-topo-area_ap015,C2D,serpentine,0.45745557849405305,0.4902616190930844,0.3132182934923132,0.16842503249219684,0.37061221186856175,0.35999454708804185
C1D01_curve1d_kndvi_raw36_ctxclim-topo-area,C1D,curve1d,0.4610985282358155,0.4905925436735563,0.30948208838498353,0.1634039665920872,0.3753005631875421,0.359975538014797
C2D02_serpentine_kndvi_harmonic_shrink_ctxclim-topo-area,C2D,serpentine,0.4617351077352996,0.4912293746940761,0.30399395680163765,0.1703858852683702,0.37185025370021196,0.3598389156399191
C2D02_serpentine_kndvi_linear_shrink_noaug_ctxclim-topo-area_res,C2D,serpentine,0.456374624674007,0.4916607866767819,0.31409385240514875,0.15733576713093056,0.3780292437029205,0.35949885491795774
C2D02_serpentine_kndvi_whittaker_reflect_ctxclim-topo-area,C2D,serpentine,0.45881475504565256,0.4867817058198297,0.30521664657758185,0.16623532892774187,0.37684253231588044,0.35877819373733727
C2D02_serpentine_kndvi_ctxclim-topo-area_mae,C2D,serpentine,0.4593436126802146,0.4866008865881473,0.3066845001486469,0.16051807848562483,0.3806052476745447,0.3587504651154357
C1D01_curve1d_kndvi_ctxclim-topo-area,C1D,curve1d,0.46462797656784166,0.4838179072445951,0.3005566198937389,0.17655061189241722,0.36778175351544523,0.3586669738228076
